公司簡稱,symbols
1101 台泥,1101
1216 統一,1216
1301 台塑,1301
1303 南亞,1303
1326 台化,1326
1402 遠東新,1402
1590 亞德客-KY,1590
1605 華新,1605
2002 中鋼,2002
2207 和泰車,2207
2303 聯電,2303
2308 台達電,2308
2317 鴻海,2317
2327 國巨,2327
2330 台積電,2330
2357 華碩,2357
2379 瑞昱,2379
2382 廣達,2382
2395 研華,2395
2408 南亞科,2408
2412 中華電,2412
2454 聯發科,2454
2603 長榮,2603
2609 陽明,2609
2615 萬海,2615
2801 彰銀,2801
2880 華南金,2880
2881 富邦金,2881
2882 國泰金,2882
2883 開發金,2883
2884 玉山金,2884
2885 元大金,2885
2886 兆豐金,2886
2887 台新金,2887
2890 永豐金,2890
2891 中信金,2891
2892 第一金,2892
2912 統一超,2912
3008 大立光,3008
3034 聯詠,3034
3037 欣興,3037
3045 台灣大,3045
3711 日月光投控,3711
4904 遠傳,4904
4938 和碩,4938
5871 中租-KY,5871
5876 上海商銀,5876
5880 合庫金,5880
6505 台塑化,6505
9910 豐泰,9910
