tw_indicator,us_indicator,cn_indicator
收盤價(元),Close,
市值(百萬元),Market_Cap_Million,
本益比-TSE,PE_Ratio_TSE,
本益比-TEJ,PE_Ratio_TEJ,
股價淨值比-TSE,PB_Ratio_TSE,
股價淨值比-TEJ,PB_Ratio_TEJ,
股價營收比-TEJ,PS_Ratio_TEJ,
股利殖利率-TSE,Dividend_Yield,
CAPM_Beta 一月,CAPM_Beta_1_Months,
CAPM_Beta 三月,CAPM_Beta_3_Months,
CAPM_Beta 六月,CAPM_Beta_6_Months,
CAPM_Beta 一年,CAPM_Beta_1_Year,
每股淨值(B),Book_Value_Per_Share,
每股盈餘,Earnings_Per_Share,
ROA(C)稅前息前折舊前,ROA_PreTax,
ROA(B)稅後息前折舊前,ROA_AfterTax,
ROA(A)稅後息前,ROA_AfterTax_PreInterest,
ROA－綜合損益,ROA_Comprehensive_Income,
營業毛利率,Gross_Profit_Margin,
已實現銷貨毛利,Realized_Gross_Profit,
營業利益率,Operating_Profit_Margin,
常續利益率－稅後,Recurring_Earnings_Margin_After_Tax,
稅前息前折舊前淨利率,PreTaxNetProfitMargin,
稅前淨利率,PreTaxNetProfitRate,
稅後淨利率,AfterTaxNetProfitRate,
季底普通股市值,EndofQuarterMarketValueofOrdinaryShares,
營收成長率,RevenueGrowthRate,
淨值/資產,EquityAssetRatio,
總資產週轉次數,TotalAssetTurnover,
業外收支/營收,Non_Operating_Incomeand_Expenditure_to_Revenue,
ROE(A)－稅後,ROE_AfterTax_Pre_Interest,
ROE(B)－常續利益,ROE_Sustainable_Income,
ROE－綜合損益,ROE_Comprehensive_Income,
研究發展費,Research_Development_Expenses,
